名稱, 時間, 執行動作,空白,荷蘭人對話,郭懷一對話,荷蘭人長官對話,路人甲對話,路人乙對話,路人丙對話,路人丁對話,路人戊對話,撿取蔗糖,撿取文件
1班6, 2024/4/25 上午 09:05:26, 荷蘭人對話, 0,1,0,0,0,0,0,0,0,0,0
1班6, 2024/4/25 上午 09:07:01, 撿取蔗糖, 0,1,0,0,0,0,0,0,0,1,0
1班6, 2024/4/25 上午 09:07:02, 撿取蔗糖, 0,1,0,0,0,0,0,0,0,2,0
1班6, 2024/4/25 上午 09:07:10, 撿取蔗糖, 0,1,0,0,0,0,0,0,0,3,0
1班6, 2024/4/25 上午 09:07:18, 撿取蔗糖, 0,1,0,0,0,0,0,0,0,4,0
1班6, 2024/4/25 上午 09:07:22, 撿取蔗糖, 0,1,0,0,0,0,0,0,0,5,0
1班6, 2024/4/25 上午 09:07:39, 撿取蔗糖, 0,1,0,0,0,0,0,0,0,6,0
1班6, 2024/4/25 上午 09:07:44, 撿取蔗糖, 0,1,0,0,0,0,0,0,0,7,0
1班6, 2024/4/25 上午 09:09:24, 荷蘭人對話, 0,2,0,0,0,0,0,0,0,7,0
1班6, 2024/4/25 上午 09:10:06, 郭懷一對話, 0,2,1,0,0,0,0,0,0,7,0
1班6, 2024/4/25 上午 09:10:29, 撿取文件, 0,2,1,0,0,0,0,0,0,7,1
1班6, 2024/4/25 上午 09:10:31, 撿取文件, 0,2,1,0,0,0,0,0,0,7,2
1班6, 2024/4/25 上午 09:10:38, 撿取文件, 0,2,1,0,0,0,0,0,0,7,3
1班6, 2024/4/25 上午 09:10:40, 撿取文件, 0,2,1,0,0,0,0,0,0,7,4
1班6, 2024/4/25 上午 09:11:05, 荷蘭人長官對話, 0,2,1,1,0,0,0,0,0,7,4
1班6, 2024/4/25 上午 09:11:21, 撿取文件, 0,2,1,1,0,0,0,0,0,7,5
1班6, 2024/4/25 上午 09:11:33, 撿取文件, 0,2,1,1,0,0,0,0,0,7,6
1班6, 2024/4/25 上午 09:11:36, 撿取文件, 0,2,1,1,0,0,0,0,0,7,7
1班6, 2024/4/25 上午 09:11:38, 撿取文件, 0,2,1,1,0,0,0,0,0,7,8
1班6, 2024/4/25 上午 09:11:48, 撿取文件, 0,2,1,1,0,0,0,0,0,7,9
1班6, 2024/4/25 上午 09:11:51, 撿取文件, 0,2,1,1,0,0,0,0,0,7,10
1班6, 2024/4/25 上午 09:11:53, 撿取文件, 0,2,1,1,0,0,0,0,0,7,11
1班6, 2024/4/25 上午 09:11:56, 撿取文件, 0,2,1,1,0,0,0,0,0,7,12
1班6, 2024/4/25 上午 09:13:59, 荷蘭人長官對話, 0,2,1,2,0,0,0,0,0,7,12
1班6, 2024/4/25 上午 09:14:28, 撿取文件, 0,2,1,2,0,0,0,0,0,7,13
1班6, 2024/4/25 上午 09:14:41, 荷蘭人長官對話, 0,2,1,3,0,0,0,0,0,7,13
1班6, 2024/4/25 上午 09:15:05, 荷蘭人長官對話, 0,2,1,4,0,0,0,0,0,7,13
