編碼	Name	 Time	 ActionType	 撿甘蔗次數	 玩家對話紀錄
"IG		"	1班1號	 2024/4/23 下午 06:20:20	 進入第一單元	0	 
"TB		"	1班1號	 2024/4/23 下午 06:20:27	 碰到驚嘆號	0	 
"IBA		"	1班1號	 2024/4/23 下午 06:20:27	 使用者進入了竹簡區域	0	 
"INAA		"	1班1號	 2024/4/23 下午 06:20:30	 使用者進入了荷蘭人A區域	0	 
"INAA		"	1班1號	 2024/4/23 下午 06:20:47	 使用者進入了荷蘭人A區域	0	 
"BL		"	1班1號	 2024/4/23 下午 06:20:51	 從第一單元回到回到關卡選擇大廳	0	 
"IG		"	1班7號	 2024/4/24 下午 04:10:14	 進入第一單元	0	 
"LI		"	1班7號	 2024/4/24 下午 04:10:20	 進入單元任務說明區域	0	 
"AGPT		"	1班7號	 2024/4/24 下午 04:10:43	 	0	 你是一位歷史助教專門運用蘇格拉底式的質疑方式來引導學生深入思考歷史問題，以下是學生的問題:好。請模仿蘇格拉底的質問用60字內引導學生的問題
"GPTA		"	1班7號	 2024/4/24 下午 04:10:51	 	0	 當然，我非常樂意協助，不過我需要知道學生提出的具體歷史問題是什麼，這樣我才能夠適當地使用蘇格拉底式的質疑方式來引導思考。請告訴我學生的問題。
"TNA		"	1班7號	 2024/4/24 下午 04:11:02	 和黑色荷蘭人說話	0	 
"INAA		"	1班7號	 2024/4/24 下午 04:11:02	 使用者進入了荷蘭人A區域	0	 
"IG		"	2班15號	 2024/4/25 上午 09:55:43	 進入第一單元	0	 
"LI		"	2班15號	 2024/4/25 上午 09:55:51	 進入單元任務說明區域	0	 
"INAA		"	2班15號	 2024/4/25 上午 09:55:59	 使用者進入了荷蘭人A區域	0	 
"LI		"	2班15號	 2024/4/25 上午 09:56:13	 進入單元任務說明區域	0	 
"ISA		"	2班15號	 2024/4/25 上午 09:56:29	 使用者進入了甘蔗田	0	 
"MII		"	2班15號	 2024/4/25 上午 09:56:38	 成功完成，2.了解荷蘭開墾台灣的規劃(尋找甘蔗)	0	 
"PS		"	2班15號	 2024/4/25 上午 09:56:38	 撿取甘蔗	1	 
"PS		"	2班15號	 2024/4/25 上午 09:56:39	 撿取甘蔗	2	 
"PS		"	2班15號	 2024/4/25 上午 09:56:44	 撿取甘蔗	3	 
"PS		"	2班15號	 2024/4/25 上午 09:57:04	 撿取甘蔗	4	 
"PS		"	2班15號	 2024/4/25 上午 09:57:05	 撿取甘蔗	5	 
"PS		"	2班15號	 2024/4/25 上午 09:57:06	 撿取甘蔗	6	 
"PS		"	2班15號	 2024/4/25 上午 09:57:18	 撿取甘蔗	7	 
"ISA		"	2班15號	 2024/4/25 上午 09:57:35	 使用者進入了甘蔗田	7	 
"LI		"	2班15號	 2024/4/25 上午 09:58:53	 進入單元任務說明區域	7	 
"CIB		"	2班15號	 2024/4/25 上午 09:58:57	 使用者查看了操作說明版	7	 
"LI		"	2班15號	 2024/4/25 上午 09:59:31	 進入單元任務說明區域	7	 
"TGG		"	2班15號	 2024/4/25 上午 09:59:31	 和綠色衣服男子對話	7	 
"IG		"	2班8號	 2024/4/25 上午 10:09:13	 進入第一單元	0	 
"TGG		"	2班8號	 2024/4/25 上午 10:09:47	 和綠色衣服男子對話	0	 
"RGG		"	2班8號	 2024/4/25 上午 10:09:59	 和被荷蘭人要求繳稅並且提示甘蔗田位置的農場工人NPC對話	0	 
"LI		"	2班8號	 2024/4/25 上午 10:10:04	 進入單元任務說明區域	0	 
"INAA		"	2班8號	 2024/4/25 上午 10:10:13	 使用者進入了荷蘭人A區域	0	 
" INBA		"	2班8號	 2024/4/25 上午 10:10:44	 使用者進入了荷蘭人B區域	0	 
" TNB		"	2班8號	 2024/4/25 上午 10:10:47	 和藍色荷蘭人A長官說話	0	 
"ISA		"	2班8號	 2024/4/25 上午 10:11:26	 使用者進入了甘蔗田	0	 
"MII		"	2班8號	 2024/4/25 上午 10:11:31	 成功完成，2.了解荷蘭開墾台灣的規劃(尋找甘蔗)	0	 
