Name, Time, ActionType, 撿甘蔗次數, 玩家對話紀錄
1班6號, 2024/4/23 下午 03:03:57, 進入第一單元, 0, 
1班1號, 2024/4/23 下午 03:05:53, 進入第一單元, 0, 
, 2024/4/23 下午 03:07:52, 進入第一單元, 0, 
2班14號, 2024/4/25 上午 09:52:02, 進入第一單元, 0, 
2班14號, 2024/4/25 上午 09:52:40, 和綠色衣服男子對話, 0, 
2班14號, 2024/4/25 上午 09:54:05, 進入單元任務說明區域, 0, 
2班14號, 2024/4/25 上午 09:54:33, 碰到驚嘆號, 0, 
2班14號, 2024/4/25 上午 09:54:43, 和粉紅衣服男子甲對話, 0, 
2班14號, 2024/4/25 上午 09:54:46, 使用者進入了荷蘭人A區域, 0, 
2班14號, 2024/4/25 上午 09:54:50, 和粉紅衣服男子甲對話, 0, 
2班14號, 2024/4/25 上午 09:55:02, 碰到驚嘆號, 0, 
2班14號, 2024/4/25 上午 09:55:03, 使用者進入了竹簡區域, 0, 
2班14號, 2024/4/25 上午 09:55:45, 進入單元任務說明區域, 0, 
2班14號, 2024/4/25 上午 09:56:18, 進入單元任務說明區域, 0, 
2班14號, 2024/4/25 上午 09:56:29, 碰到驚嘆號, 0, 
2班14號, 2024/4/25 上午 09:56:29, 使用者進入了竹簡區域, 0, 
2班14號, 2024/4/25 上午 09:56:51, 使用者進入了荷蘭人A區域, 0, 
2班14號, 2024/4/25 上午 09:57:35, 使用者進入了荷蘭人A區域, 0, 
2班14號, 2024/4/25 上午 09:57:37, 使用者進入了荷蘭人A區域, 0, 
2班14號, 2024/4/25 上午 09:59:03, 和黑色荷蘭人說話, 0, 
2班14號, 2024/4/25 上午 09:59:10, 和粉紅衣服男子甲對話, 0, 
2班14號, 2024/4/25 上午 10:02:30, 和綠色衣服男子對話, 0, 
2班23號, 2024/4/25 上午 10:10:46, 進入第一單元, 0, 
2班23號, 2024/4/25 上午 10:13:56, 和紅色衣服男子對話, 0, 
2班23號, 2024/4/25 上午 10:13:57, 和紅色衣服男子對話, 0, 
2班23號, 2024/4/25 上午 10:13:59, 使用者進入了甘蔗田, 0, 
2班23號, 2024/4/25 上午 10:14:43, 成功完成，2.了解荷蘭開墾台灣的規劃(尋找甘蔗), 0, 
2班23號, 2024/4/25 上午 10:14:43, 撿取甘蔗, 1, 
2班23號, 2024/4/25 上午 10:14:45, 撿取甘蔗, 2, 
2班23號, 2024/4/25 上午 10:14:46, 撿取甘蔗, 3, 
2班23號, 2024/4/25 上午 10:15:00, 撿取甘蔗, 4, 
2班23號, 2024/4/25 上午 10:15:03, 撿取甘蔗, 5, 
2班23號, 2024/4/25 上午 10:15:32, 使用者進入了郭懷一區域, 5, 
2班23號, 2024/4/25 上午 10:15:41, 和郭懷一說話, 5, 
2班23號, 2024/4/25 上午 10:15:42, 撿取郭懷一人偶, 5, 
2班23號, 2024/4/25 上午 10:15:42, 撿取郭懷一人偶, 5, 
2班23號, 2024/4/25 上午 10:15:43, 撿取郭懷一人偶, 5, 
2班23號, 2024/4/25 上午 10:15:43, 撿取郭懷一人偶, 5, 
2班23號, 2024/4/25 上午 10:15:45, 和郭懷一說話, 5, 
2班23號, 2024/4/25 上午 10:15:46, 和郭懷一說話, 5, 
2班23號, 2024/4/25 上午 10:15:50, 撿取郭懷一人偶, 5, 
2班23號, 2024/4/25 上午 10:15:50, 撿取郭懷一人偶, 5, 
2班23號, 2024/4/25 上午 10:15:53, 撿取郭懷一人偶, 5, 
2班23號, 2024/4/25 上午 10:15:55, 撿取郭懷一人偶, 5, 
2班23號, 2024/4/25 上午 10:15:55, 撿取郭懷一人偶, 5, 
2班23號, 2024/4/25 上午 10:15:56, 撿取郭懷一人偶, 5, 
2班23號, 2024/4/25 上午 10:15:56, 撿取郭懷一人偶, 5, 
2班23號, 2024/4/25 上午 10:16:06, 和郭懷一說話, 5, 
2班23號, 2024/4/25 上午 10:16:14, 使用者進入了甘蔗田, 5, 
2班23號, 2024/4/25 上午 10:16:25, 撿取甘蔗, 6, 
2班23號, 2024/4/25 上午 10:16:34, 撿取甘蔗, 7, 
2班23號, 2024/4/25 上午 10:16:36, 撿取甘蔗, 8, 
2班23號, 2024/4/25 上午 10:16:50, 使用者進入了郭懷一區域, 8, 
2班23號, 2024/4/25 上午 10:17:09, 撿取甘蔗, 9, 
2班23號, 2024/4/25 上午 10:17:13, 使用者進入了荷蘭人A區域, 9, 
2班23號, 2024/4/25 上午 10:17:17, 和黑色荷蘭人說話, 9, 
2班23號, 2024/4/25 上午 10:17:22, 和黑色荷蘭人說話, 9, 
2班23號, 2024/4/25 上午 10:17:29, 和黑色荷蘭人說話, 9, 
2班23號, 2024/4/25 上午 10:17:32, 和黑色荷蘭人說話, 9, 
2班23號, 2024/4/25 上午 10:17:36, 和黑色荷蘭人說話, 9, 
2班23號, 2024/4/25 上午 10:17:40, 和黑色荷蘭人說話, 9, 
2班23號, 2024/4/25 上午 10:17:45, 成功完成，3.蔗糖是荷蘭人重要的經濟來源(找到荷蘭人並繳交甘蔗), 9, 
2班23號, 2024/4/25 上午 10:18:17, 和粉紅衣服男子乙對話, 9, 
2班23號, 2024/4/25 上午 10:18:20, 和提示收甘蔗荷蘭人外觀的NPC對話, 9, 
2班23號, 2024/4/25 上午 10:18:21, 和粉紅衣服男子乙對話, 9, 
2班23號, 2024/4/25 上午 10:19:01, 使用者進入了荷蘭人B區域, 9, 
2班6號, 2024/4/30 下午 02:32:44, 進入第一單元, 0, 
2班6號, 2024/4/30 下午 02:33:27, , 0, 你是一位歷史助教專門運用蘇格拉底式的質疑方式來引導學生深入思考歷史問題，以下是學生的問題:你這樣可以看喔.。請模仿蘇格拉底的質問用60字內引導學生的問題
2班6號, 2024/4/30 下午 02:33:33, , 0, 當然可以，提問前，請告訴我學生具體想了解或探討的歷史問題是什麼？這樣我才能更準確地運用蘇格拉底式的質疑方法來引導學生。
2班6號, 2024/4/30 下午 02:33:48, 使用者查看了操作說明版, 0, 
2班6號, 2024/4/30 下午 02:33:54, 使用者查看了操作說明版, 0, 
2班6號, 2024/4/30 下午 02:34:16, 進入單元任務說明區域, 0, 
2班6號, 2024/4/30 下午 02:34:29, 進入單元任務說明區域, 0, 
2班6號, 2024/4/30 下午 02:34:30, 進入單元任務說明區域, 0, 
2班6號, 2024/4/30 下午 02:34:32, 進入單元任務說明區域, 0, 
2班6號, 2024/4/30 下午 02:34:55, 碰到驚嘆號, 0, 
2班6號, 2024/4/30 下午 02:34:55, 使用者進入了竹簡區域, 0, 
2班6號, 2024/4/30 下午 02:35:17, 使用者進入了竹簡區域, 0, 
2班6號, 2024/4/30 下午 02:35:57, 成功完成，1.認識抗荷的背景(前往竹簡), 0, 
2班6號, 2024/4/30 下午 02:36:15, 使用者進入了竹簡區域, 0, 
2班6號, 2024/4/30 下午 02:36:31, 碰到驚嘆號, 0, 
2班6號, 2024/4/30 下午 02:36:31, 使用者進入了竹簡區域, 0, 
2班6號, 2024/4/30 下午 02:36:52, 和粉紅衣服男子甲對話, 0, 
2班6號, 2024/4/30 下午 02:36:55, 和粉紅衣服男子甲對話, 0, 
2班6號, 2024/4/30 下午 02:36:58, 和粉紅衣服男子甲對話, 0, 
2班6號, 2024/4/30 下午 02:37:27, 使用者查看了操作說明版, 0, 
2班6號, 2024/4/30 下午 02:38:05, 使用者查看了操作說明版, 0, 
2班6號, 2024/4/30 下午 02:39:37, 使用者查看了操作說明版, 0, 
2班6號, 2024/4/30 下午 02:39:42, 使用者查看了操作說明版, 0, 
2班6號, 2024/4/30 下午 02:39:45, 使用者查看了操作說明版, 0, 
2班6號, 2024/4/30 下午 02:40:46, 碰到驚嘆號, 0, 
2班6號, 2024/4/30 下午 02:40:46, 使用者進入了竹簡區域, 0, 
2班6號, 2024/4/30 下午 02:40:59, 碰到驚嘆號, 0, 
2班6號, 2024/4/30 下午 02:40:59, 使用者進入了竹簡區域, 0, 
2班6號, 2024/4/30 下午 02:41:04, 和粉紅衣服男子甲對話, 0, 
2班6號, 2024/4/30 下午 02:41:11, 和粉紅衣服男子甲對話, 0, 
2班6號, 2024/4/30 下午 02:41:59, 成功完成，1.認識抗荷的背景(前往竹簡), 0, 
2班6號, 2024/4/30 下午 02:42:22, 使用者進入了荷蘭人A區域, 0, 
2班6號, 2024/4/30 下午 02:42:23, 和黑色荷蘭人說話, 0, 
2班6號, 2024/4/30 下午 02:42:24, 和黑色荷蘭人說話, 0, 
2班6號, 2024/4/30 下午 02:42:55, 使用者進入了荷蘭人B區域, 0, 
2班6號, 2024/4/30 下午 02:42:59, 和藍色荷蘭人A長官說話, 0, 
2班6號, 2024/4/30 下午 02:43:13, 使用者進入了荷蘭人A區域, 0, 
2班6號, 2024/4/30 下午 02:43:25, 使用者進入了郭懷一區域, 0, 
2班6號, 2024/4/30 下午 02:44:55, 使用者進入了郭懷一區域, 0, 
2班6號, 2024/4/30 下午 02:44:55, 使用者進入了郭懷一區域, 0, 
2班6號, 2024/4/30 下午 02:44:55, 使用者進入了郭懷一區域, 0, 
2班6號, 2024/4/30 下午 02:44:56, 使用者進入了郭懷一區域, 0, 
2班6號, 2024/4/30 下午 02:44:58, 使用者進入了郭懷一區域, 0, 
2班6號, 2024/4/30 下午 02:45:05, 和郭懷一說話, 0, 
2班6號, 2024/4/30 下午 02:45:12, 撿取郭懷一人偶, 0, 
2班6號, 2024/4/30 下午 02:45:54, 使用者進入了荷蘭人B區域, 0, 
2班6號, 2024/4/30 下午 02:45:58, 和藍色荷蘭人A長官說話, 0, 
2班6號, 2024/4/30 下午 02:46:40, 使用者進入了甘蔗田, 0, 
2班6號, 2024/4/30 下午 02:46:50, 成功完成，2.了解荷蘭開墾台灣的規劃(尋找甘蔗), 0, 
2班6號, 2024/4/30 下午 02:46:50, 撿取甘蔗, 1, 
2班6號, 2024/4/30 下午 02:46:56, 和紅色衣服男子對話, 1, 
2班6號, 2024/4/30 下午 02:47:34, 使用者進入了甘蔗田, 1, 
2班6號, 2024/4/30 下午 02:47:36, 撿取甘蔗, 2, 
2班6號, 2024/4/30 下午 02:47:36, 和紅色衣服男子對話, 2, 
2班6號, 2024/4/30 下午 02:47:38, 和紅色衣服男子對話, 2, 
2班6號, 2024/4/30 下午 02:47:39, 使用者進入了甘蔗田, 2, 
2班6號, 2024/4/30 下午 02:47:53, 使用者進入了甘蔗田, 2, 
2班6號, 2024/4/30 下午 02:48:04, 撿取甘蔗, 3, 
2班6號, 2024/4/30 下午 02:48:09, 撿取甘蔗, 4, 
2班6號, 2024/4/30 下午 02:48:36, 和綠色衣服男子對話, 4, 
2班6號, 2024/4/30 下午 02:48:41, 和綠色衣服男子對話, 4, 
2班6號, 2024/4/30 下午 02:48:54, 使用者進入了荷蘭人A區域, 4, 
2班6號, 2024/4/30 下午 02:48:56, 和黑色荷蘭人說話, 4, 
2班6號, 2024/4/30 下午 02:48:57, 和黑色荷蘭人說話, 4, 
2班6號, 2024/4/30 下午 02:48:58, 和黑色荷蘭人說話, 4, 
2班6號, 2024/4/30 下午 02:49:26, 成功完成，3.蔗糖是荷蘭人重要的經濟來源(找到荷蘭人並繳交甘蔗), 4, 
2班6號, 2024/4/30 下午 02:49:36, 和藍色衣服男子對話, 4, 
2班6號, 2024/4/30 下午 02:49:47, 和粉紅衣服男子乙對話, 4, 
2班6號, 2024/4/30 下午 02:49:51, 使用者進入了荷蘭人B區域, 4, 
2班6號, 2024/4/30 下午 02:49:53, 和藍色荷蘭人A長官說話, 4, 
2班6號, 2024/4/30 下午 02:50:15, 和紅色衣服男子對話, 4, 
2班6號, 2024/4/30 下午 02:50:38, 和綠色衣服男子對話, 4, 
2班6號, 2024/4/30 下午 02:50:39, 使用者進入了郭懷一區域, 4, 
2班6號, 2024/4/30 下午 02:50:40, 和郭懷一說話, 4, 
2班6號, 2024/4/30 下午 02:51:11, 成功完成，4.認識郭懷一擔任使節的原由、郭懷一抗荷蘭的成因(獲得文件), 4, 
2班6號, 2024/4/30 下午 02:51:12, 和郭懷一說話, 4, 
2班6號, 2024/4/30 下午 02:51:17, 使用者進入了甘蔗田, 4, 
